,Linkage,Weight
36,"['tonight', 'response']",0.1522904472966912
0,"['nominee', 'Donald_Trump']",0.27938200933188856
268,"['refuse', 'history']",0.017818429652154414
277,"['admit', 'history']",0.03563685930430883
276,"['admit', 'racist']",0.02882567236797586
275,"['admit', 'support']",0.03334749129382742
274,"['admit', 'people']",0.05919148201885107
273,"['admit', 'majority']",0.02882567236797586
272,"['admit', 'time']",0.033303948363964976
271,"['refuse', 'practice']",0.01441283618398793
270,"['refuse', 'business']",0.01441283618398793
269,"['refuse', 'shady']",0.01441283618398793
267,"['refuse', 'racist']",0.01441283618398793
279,"['admit', 'business']",0.02882567236797586
266,"['refuse', 'support']",0.01667374564691371
265,"['refuse', 'people']",0.029595741009425535
264,"['refuse', 'majority']",0.01441283618398793
263,"['refuse', 'time']",0.016651974181982488
262,"['refuse', 'admit']",0.02882567236797586
261,"['system', 'practice']",0.01441283618398793
260,"['system', 'business']",0.01441283618398793
259,"['system', 'shady']",0.01441283618398793
258,"['system', 'history']",0.017818429652154414
257,"['system', 'racist']",0.01441283618398793
278,"['admit', 'shady']",0.02882567236797586
280,"['admit', 'practice']",0.02882567236797586
255,"['system', 'people']",0.029595741009425535
293,"['majority', 'shady']",0.01441283618398793
303,"['support', 'history']",0.020613566965918456
302,"['support', 'racist']",0.01667374564691371
301,"['people', 'practice']",0.029595741009425535
300,"['people', 'business']",0.029595741009425535
299,"['people', 'shady']",0.029595741009425535
298,"['people', 'history']",0.036588886631882644
297,"['people', 'racist']",0.029595741009425535
296,"['people', 'support']",0.03423835888534705
295,"['majority', 'practice']",0.01441283618398793
294,"['majority', 'business']",0.01441283618398793
292,"['majority', 'history']",0.017818429652154414
281,"['time', 'majority']",0.016651974181982488
291,"['majority', 'racist']",0.01441283618398793
290,"['majority', 'support']",0.01667374564691371
289,"['majority', 'people']",0.029595741009425535
288,"['time', 'practice']",0.016651974181982488
287,"['time', 'business']",0.016651974181982488
286,"['time', 'shady']",0.016651974181982488
285,"['time', 'history']",0.02058665114509394
284,"['time', 'racist']",0.016651974181982488
283,"['time', 'support']",0.019264132228034938
282,"['time', 'people']",0.034193652720004235
256,"['system', 'support']",0.01667374564691371
254,"['system', 'majority']",0.01441283618398793
305,"['support', 'business']",0.01667374564691371
217,"['Trump', 'excuse']",0.12005347218630509
227,"['Trump', 'system']",0.12005347218630509
226,"['Trump', 'notion']",0.12005347218630509
225,"['failure', 'tonight']",0.05002123694074113
224,"['excuse', 'tonight']",0.04323850855196379
223,"['excuse', 'failure']",0.01667374564691371
222,"['roll', 'tonight']",0.04323850855196379
221,"['roll', 'failure']",0.01667374564691371
220,"['roll', 'excuse']",0.01441283618398793
219,"['Trump', 'tonight']",0.3601604165589153
218,"['Trump', 'failure']",0.13888599257702886
216,"['Trump', 'roll']",0.12005347218630509
253,"['system', 'time']",0.016651974181982488
215,"['Republican', 'nominee']",0.27938200933188856
214,"['position', 'nominee']",0.033540780286679915
213,"['position', 'Republican']",0.12005347218630509
212,"['policy', 'nominee']",0.051160558916808076
211,"['policy', 'Republican']",0.18312044873309108
210,"['policy', 'position']",0.021984245698721858
209,"['pas', 'nominee']",0.033540780286679915
208,"['pas', 'Republican']",0.12005347218630509
207,"['pas', 'position']",0.01441283618398793
206,"['pas', 'policy']",0.021984245698721858
228,"['Trump', 'refuse']",0.12005347218630509
229,"['Trump', 'admit']",0.24010694437261018
230,"['Trump', 'time']",0.13870464451158152
231,"['Trump', 'majority']",0.12005347218630509
252,"['system', 'admit']",0.02882567236797586
251,"['system', 'refuse']",0.01441283618398793
250,"['notion', 'practice']",0.01441283618398793
249,"['notion', 'business']",0.01441283618398793
248,"['notion', 'shady']",0.01441283618398793
247,"['notion', 'history']",0.017818429652154414
246,"['notion', 'racist']",0.01441283618398793
245,"['notion', 'support']",0.01667374564691371
244,"['notion', 'people']",0.029595741009425535
243,"['notion', 'majority']",0.01441283618398793
242,"['notion', 'time']",0.016651974181982488
241,"['notion', 'admit']",0.02882567236797586
240,"['notion', 'refuse']",0.01441283618398793
239,"['notion', 'system']",0.01441283618398793
238,"['Trump', 'practice']",0.12005347218630509
237,"['Trump', 'business']",0.12005347218630509
236,"['Trump', 'shady']",0.12005347218630509
235,"['Trump', 'history']",0.14842077723918612
234,"['Trump', 'racist']",0.12005347218630509
233,"['Trump', 'support']",0.13888599257702886
232,"['Trump', 'people']",0.24652132479348335
304,"['support', 'shady']",0.01667374564691371
306,"['support', 'practice']",0.01667374564691371
204,"['incoherent', 'Republican']",0.12005347218630509
370,"['cheap', 'nominee']",0.033540780286679915
380,"['tonight', 'illustrate']",0.04323850855196379
379,"['behavior', 'cake']",0.01441283618398793
378,"['behavior', 'cherry']",0.01441283618398793
377,"['behavior', 'response']",0.025381741216115198
376,"['behavior', 'States']",0.12005347218630509
375,"['behavior', 'United']",0.12005347218630509
