,Linkage,Weight
63,"['fact', 'check']",0.6976750348583992
285,"['Trump', 'check']",2.0459839220165916
284,"['Trump', 'fact']",1.7049866016804933
303,"['Trump', 'debate']",2.4948290179931103
54,"['debate', 'check']",0.850730009832391
53,"['debate', 'fact']",0.6805840078659129
159,"['cable', 'Trump']",0.5862360295306875
158,"['cable', 'include']",0.07996196606177536
157,"['cable', 'network']",0.07996196606177536
255,"['include', 'fact']",0.18604667596223975
256,"['include', 'check']",0.18604667596223975
91,"['make', 'include']",0.1038134187737452
163,"['cable', 'check']",0.19990491515443845
88,"['make', 'cable']",0.11154626958274563
90,"['make', 'network']",0.1038134187737452
92,"['make', 'Trump']",0.7611014264820553
95,"['make', 'fact']",0.25953354693436304
162,"['cable', 'fact']",0.19990491515443845
252,"['include', 'Trump']",0.5455957125377577
96,"['make', 'check']",0.25953354693436304
225,"['network', 'fact']",0.18604667596223975
221,"['network', 'include']",0.0744186703848959
222,"['network', 'Trump']",0.5455957125377577
226,"['network', 'check']",0.18604667596223975
808,"['Clinton', 'Trump']",3.0
65,"['check', 'candidate']",0.2093025104575197
72,"['Trump', 'say']",1.5250760148345262
64,"['fact', 'candidate']",0.2093025104575197
757,"['lie', 'debate']",0.4083504047195477
269,"['include', 'fact-checking']",0.27279785626887887
272,"['include', 'assertion']",0.018604667596223975
271,"['include', 'expose']",0.018604667596223975
270,"['include', 'help']",0.030262262104655522
191,"['news', 'Trump']",0.44920011775027546
268,"['include', 'Team']",0.27279785626887887
266,"['include', 'From']",0.27279785626887887
273,"['include', 'flow']",0.018604667596223975
265,"['include', 'Leaks']",0.27279785626887887
264,"['include', 'Over']",0.27279785626887887
267,"['include', 'Mueller']",0.27279785626887887
274,"['include', 'debate']",0.13611680157318254
190,"['news', 'include']",0.06127041457900156
189,"['news', 'network']",0.06127041457900156
184,"['cable', 'Telemundo']",0.29311801476534377
287,"['Trump', 'candidate']",0.4091967844033183
286,"['Trump', 'comment']",0.15177293779250117
185,"['cable', 'say']",0.14900908461151277
186,"['cable', 'use']",0.01999049151544384
187,"['cable', 'sort']",0.01999049151544384
188,"['cable', 'screen']",0.01999049151544384
283,"['Trump', 'offer']",0.13639892813443943
275,"['include', 'broadcast']",0.018604667596223975
282,"['Trump', 'pledge']",0.13639892813443943
281,"['include', 'screen']",0.018604667596223975
280,"['include', 'sort']",0.018604667596223975
279,"['include', 'use']",0.018604667596223975
278,"['include', 'say']",0.13867915583131454
277,"['include', 'Telemundo']",0.27279785626887887
276,"['include', 'Univision']",0.27279785626887887
263,"['include', 'Panic']",0.27279785626887887
228,"['network', 'candidate']",0.05581400278867192
262,"['include', 'Tweetstorm']",0.27279785626887887
261,"['include', 'Morning']",0.27279785626887887
241,"['network', 'expose']",0.018604667596223975
240,"['network', 'help']",0.030262262104655522
239,"['network', 'fact-checking']",0.27279785626887887
238,"['network', 'Team']",0.27279785626887887
237,"['network', 'Mueller']",0.27279785626887887
236,"['network', 'From']",0.27279785626887887
235,"['network', 'Leaks']",0.27279785626887887
234,"['network', 'Over']",0.27279785626887887
233,"['network', 'Panic']",0.27279785626887887
232,"['network', 'Tweetstorm']",0.27279785626887887
231,"['network', 'Morning']",0.27279785626887887
223,"['network', 'pledge']",0.018604667596223975
224,"['network', 'offer']",0.018604667596223975
230,"['network', 'Unleashes']",0.27279785626887887
229,"['network', 'wrong']",0.018604667596223975
242,"['network', 'assertion']",0.018604667596223975
243,"['network', 'flow']",0.018604667596223975
244,"['network', 'debate']",0.13611680157318254
253,"['include', 'pledge']",0.018604667596223975
259,"['include', 'wrong']",0.018604667596223975
258,"['include', 'candidate']",0.05581400278867192
257,"['include', 'comment']",0.020701666034712116
194,"['news', 'fact']",0.1531760364475039
195,"['news', 'check']",0.1531760364475039
254,"['include', 'offer']",0.018604667596223975
288,"['Trump', 'wrong']",0.13639892813443943
245,"['network', 'broadcast']",0.018604667596223975
251,"['network', 'screen']",0.018604667596223975
250,"['network', 'sort']",0.018604667596223975
249,"['network', 'use']",0.018604667596223975
248,"['network', 'say']",0.13867915583131454
247,"['network', 'Telemundo']",0.27279785626887887
246,"['network', 'Univision']",0.27279785626887887
260,"['include', 'Unleashes']",0.27279785626887887
338,"['offer', 'fact']",0.04651166899055994
289,"['Trump', 'Unleashes']",2.0
384,"['fact', 'say']",0.3466978895782864
392,"['check', 'Tweetstorm']",0.6819946406721973
391,"['check', 'Morning']",0.6819946406721973
390,"['check', 'Unleashes']",0.6819946406721973
389,"['check', 'wrong']",0.04651166899055994
388,"['check', 'comment']",0.051754165086780296
387,"['fact', 'screen']",0.04651166899055994
386,"['fact', 'sort']",0.04651166899055994
385,"['fact', 'use']",0.04651166899055994
383,"['fact', 'Telemundo']",0.6819946406721973
290,"['Trump', 'Morning']",2.0
382,"['fact', 'Univision']",0.6819946406721973
381,"['fact', 'broadcast']",0.04651166899055994
380,"['fact', 'flow']",0.04651166899055994
379,"['fact', 'assertion']",0.04651166899055994
378,"['fact', 'expose']",0.04651166899055994
377,"['fact', 'help']",0.07565565526163881
376,"['fact', 'fact-checking']",0.6819946406721973
375,"['fact', 'Team']",0.6819946406721973
393,"['check', 'Panic']",0.6819946406721973
