,Linkage,Weight
177,"['talk', 'make']",382.06889371048845
165,"['visit', 'make']",167.7952710860895
238,"['man', 'think']",371.7654216185064
451,"['President', 'Obama']",2.0
152,"['Jordan', 'make']",39.598916802860046
156,"['Klepper', 'Trump']",2.0
492,"['president', 'watch']",399.15590962681654
158,"['Klepper', 'talk']",19.296936611301113
159,"['Klepper', 'make']",39.598916802860046
493,"['president', 'ring']",44.148065080720755
20,"['know', 'September']",32.7565559534922
144,"['Reporter', 'make']",39.598916802860046
330,"['man', 'jewelry']",4.087932973505568
190,"['say', 'Klepper']",140.8842418748194
5,"['say', 'Trump']",140.8842418748194
170,"['Trump', 'make']",39.598916802860046
505,"['watch', 'ring']",14.22005550150708
180,"['make', 'laugh']",38.6081219797993
174,"['rally', 'make']",160.33296304145247
181,"['make', 'cry']",31.32943250000365
223,"['people', 'Klepper']",45.91716638475001
202,"['Klepper', 'find']",16.82443066966079
251,"['get', 'Bill']",36.59261407412569
463,"['Muslim', 'way']",11.057346553729726
464,"['Muslim', 'jewelry']",0.2278204053214686
458,"['Obama', 'way']",11.057346553729726
460,"['reveal', 'Muslim']",2.3368993251551173
457,"['Obama', 'Muslim']",1.0
456,"['Obama', 'reveal']",2.3368993251551173
455,"['President', 'jewelry']",0.2278204053214686
454,"['President', 'way']",11.057346553729726
453,"['President', 'Muslim']",1.0
452,"['President', 'reveal']",2.3368993251551173
459,"['Obama', 'jewelry']",0.2278204053214686
462,"['reveal', 'jewelry']",0.5323933514523053
461,"['reveal', 'way']",25.83990569941726
444,"['double.', 'jewelry']",0.2278204053214686
450,"['say', 'jewelry']",16.04815254366459
441,"['double.', 'reveal']",2.3368993251551173
435,"['think', 'Muslim']",20.718477916971512
436,"['think', 'way']",229.09139039375037
437,"['think', 'jewelry']",4.720092036688347
438,"['double.', 'say']",70.4421209374097
439,"['double.', 'President']",1.0
440,"['double.', 'Obama']",1.0
442,"['double.', 'Muslim']",1.0
449,"['say', 'way']",778.9029431846797
443,"['double.', 'way']",11.057346553729726
466,"['refer', 'story']",57.08167075297577
445,"['say', 'President']",70.4421209374097
446,"['say', 'Obama']",70.4421209374097
447,"['say', 'reveal']",164.6161448811279
448,"['say', 'Muslim']",70.4421209374097
465,"['way', 'jewelry']",2.51908917365065
475,"['story', 'claim']",94.83228848670839
467,"['refer', 'claim']",32.26112688673338
495,"['president', 'Ramadan']",24.892096458782824
487,"['claim', 'ring']",6.492167963708212
488,"['claim', 'observance']",0.8339349369485832
489,"['claim', 'Ramadan']",7.320985455818584
490,"['president', 'stop']",180.95265320877346
491,"['president', 'wear']",30.585940226162215
494,"['president', 'observance']",2.835463752270498
496,"['stop', 'wear']",8.932311094838694
485,"['claim', 'wear']",8.995595205050051
497,"['stop', 'watch']",58.28470097316692
498,"['stop', 'ring']",6.44649549139695
499,"['stop', 'observance']",0.8280681955872857
500,"['stop', 'Ramadan']",7.2694822434261805
501,"['wear', 'watch']",9.851706225098823
502,"['wear', 'ring']",1.0896337924407482
486,"['claim', 'watch']",58.697639506191514
484,"['claim', 'stop']",53.21977377545452
468,"['refer', 'president']",109.6911183856201
433,"['think', 'Obama']",20.718477916971512
469,"['refer', 'stop']",32.03416950782681
470,"['refer', 'wear']",5.414649502987414
471,"['refer', 'watch']",35.33141913725828
472,"['refer', 'ring']",3.9077807790049275
473,"['refer', 'observance']",0.5019640489533747
474,"['refer', 'Ramadan']",4.406664523707369
476,"['story', 'president']",322.43944297719156
483,"['claim', 'president']",182.23467613958232
477,"['story', 'stop']",94.16514230467264
478,"['story', 'wear']",15.916480708331132
479,"['story', 'watch']",103.85747974746428
480,"['story', 'ring']",11.487007117838871
481,"['story', 'observance']",1.4755343068898807
482,"['story', 'Ramadan']",12.953486802973694
434,"['think', 'reveal']",48.41699706241193
0,"['thing', 'say']",740.5154340235415
432,"['think', 'President']",20.718477916971512
377,"['show', 'candidate']",244.969032367617
369,"['body', 'say']",148.11172403219837
370,"['body', 'President']",2.102601711322702
371,"['body', 'Obama']",2.102601711322702
372,"['body', 'reveal']",4.913568520260017
373,"['body', 'Muslim']",2.102601711322702
374,"['body', 'way']",23.249195786560303
375,"['body', 'jewelry']",0.4790155741031515
376,"['show', 'photo']",36.24091336440905
378,"['show', 'Klepper']",14.08507421868443
367,"['body', 'think']",43.56270712422591
379,"['show', 'pick']",30.38572079618665
380,"['show', 'think']",291.82129915871815
381,"['show', 'double.']",14.08507421868443
382,"['show', 'say']",992.18250152496
383,"['show', 'President']",14.08507421868443
384,"['show', 'Obama']",14.08507421868443
385,"['show', 'reveal']",32.91540043640338
386,"['show', 'Muslim']",14.08507421868443
368,"['body', 'double.']",2.102601711322702
366,"['body', 'pick']",4.535941206549298
388,"['show', 'jewelry']",3.2088673174836546
355,"['Clinton', 'say']",70.4421209374097
347,"['Clinton', 'body']",2.102601711322702
348,"['Clinton', 'show']",14.08507421868443
349,"['Clinton', 'photo']",2.573001235331369
350,"['Clinton', 'candidate']",17.392100926430015
351,"['Clinton', 'Klepper']",1.0
352,"['Clinton', 'pick']",2.1572993031075933
353,"['Clinton', 'think']",20.718477916971512
354,"['Clinton', 'double.']",1.0
356,"['Clinton', 'President']",1.0
365,"['body', 'Klepper']",2.102601711322702
357,"['Clinton', 'Obama']",1.0
358,"['Clinton', 'reveal']",2.3368993251551173
359,"['Clinton', 'Muslim']",1.0
360,"['Clinton', 'way']",11.057346553729726
361,"['Clinton', 'jewelry']",0.2278204053214686
362,"['body', 'show']",29.61530115631315
363,"['body', 'photo']",5.409996800643163
364,"['body', 'candidate']",36.5686611714089
387,"['show', 'way']",155.74354687099768
389,"['photo', 'candidate']",44.74989716871228
503,"['wear', 'observance']",0.1399661396741031
421,"['pick', 'think']",44.6959579717327
413,"['Klepper', 'think']",20.718477916971512
414,"['Klepper', 'double.']",1.0
415,"['Klepper', 'President']",1.0
416,"['Klepper', 'Obama']",1.0
417,"['Klepper', 'reveal']",2.3368993251551173
418,"['Klepper', 'Muslim']",1.0
419,"['Klepper', 'way']",11.057346553729726
420,"['Klepper', 'jewelry']",0.2278204053214686
422,"['pick', 'double.']",2.1572993031075933
411,"['candidate', 'jewelry']",3.9622754824511754
423,"['pick', 'say']",151.96473840769474
424,"['pick', 'President']",2.1572993031075933
425,"['pick', 'Obama']",2.1572993031075933
426,"['pick', 'reveal']",5.041391285589739
427,"['pick', 'Muslim']",2.1572993031075933
428,"['pick', 'way']",23.854006014580285
429,"['pick', 'jewelry']",0.49147680163369367
430,"['think', 'double.']",20.718477916971512
412,"['Klepper', 'pick']",2.1572993031075933
410,"['candidate', 'way']",192.3104872409805
390,"['photo', 'Klepper']",2.573001235331369
399,"['photo', 'way']",28.450566342233643
391,"['photo', 'pick']",5.55073377187534
392,"['photo', 'think']",53.308669274553395
393,"['photo', 'double.']",2.573001235331369
394,"['photo', 'say']",181.24766419131686
395,"['photo', 'President']",2.573001235331369
396,"['photo', 'Obama']",2.573001235331369
397,"['photo', 'reveal']",6.012844850469159
398,"['photo', 'Muslim']",2.573001235331369
400,"['photo', 'jewelry']",0.5861821843258319
409,"['candidate', 'Muslim']",17.392100926430015
401,"['candidate', 'Klepper']",17.392100926430015
402,"['candidate', 'pick']",37.519967208164395
403,"['candidate', 'think']",360.33785897398
404,"['candidate', 'double.']",17.392100926430015
405,"['candidate', 'say']",1225.1364768152184
406,"['candidate', 'President']",17.392100926430015
407,"['candidate', 'Obama']",17.392100926430015
408,"['candidate', 'reveal']",40.64358891800399
431,"['think', 'say']",1459.4535270663594
508,"['ring', 'observance']",0.10101429280477112
504,"['wear', 'Ramadan']",1.2287410293788412
609,"['AIDS', 'Office']",1.0
611,"['AIDS', 'Trade']",1.0
612,"['AIDS', 'Center']",1.0
613,"['AIDS', 'attack']",14.388563846875021
614,"['AIDS', 'September']",1.0
615,"['demand', 'know']",31.71849341907396
616,"['demand', 'President']",1.9366195557376613
617,"['demand', 'Obama']",1.9366195557376613
618,"['demand', 'Oval']",1.9366195557376613
619,"['demand', 'Office']",1.9366195557376613
620,"['demand', 'World']",1.9366195557376613
621,"['demand', 'Trade']",1.9366195557376613
622,"['demand', 'Center']",1.9366195557376613
623,"['demand', 'attack']",27.865174124838077
624,"['demand', 'September']",1.9366195557376613
625,"['know', 'President']",16.3782779767461
626,"['know', 'Obama']",16.3782779767461
627,"['know', 'Oval']",16.3782779767461
610,"['AIDS', 'World']",1.0
608,"['AIDS', 'Oval']",1.0
629,"['know', 'World']",16.3782779767461
607,"['AIDS', 'Obama']",1.0
590,"['claim', 'attack']",105.33846665308913
591,"['claim', 'September']",7.320985455818584
592,"['Hillary', 'AIDS']",1.0
593,"['Hillary', 'demand']",1.9366195557376613
594,"['Hillary', 'know']",16.3782779767461
595,"['Hillary', 'President']",1.0
596,"['Hillary', 'Obama']",1.0
597,"['Hillary', 'Oval']",1.0
598,"['Hillary', 'Office']",1.0
599,"['Hillary', 'World']",1.0
600,"['Hillary', 'Trade']",1.0
601,"['Hillary', 'Center']",1.0
602,"['Hillary', 'attack']",14.388563846875021
603,"['Hillary', 'September']",1.0
604,"['AIDS', 'demand']",1.9366195557376613
605,"['AIDS', 'know']",16.3782779767461
606,"['AIDS', 'President']",1.0
628,"['know', 'Office']",16.3782779767461
630,"['know', 'Trade']",16.3782779767461
506,"['watch', 'observance']",0.9133005456994705
651,"['Oval', 'attack']",14.388563846875021
653,"['Office', 'World']",1.0
654,"['Office', 'Trade']",1.0
655,"['Office', 'Center']",1.0
656,"['Office', 'attack']",14.388563846875021
657,"['Office', 'September']",1.0
658,"['World', 'Trade']",1.0
