,Linkage,Weight
481,"['Trump', 'say']",11.6922494470647
844,"['Trump', 'question']",5.891108866525899
1407,"['raise', 'question']",0.8499223757696343
843,"['Trump', 'raise']",2.5247609427968136
129,"['Trump', 'Pennsylvania']",13.0
342,"['GOP', 'Trump']",13.0
1425,"['question', 'say']",1.7113121586890783
846,"['Trump', 'Clinton']",11.0
384,"['state', 'Trump']",2.1595835037048183
488,"['Trump', 'debate']",4.490692232387599
1586,"['Trump', 'County']",8.0
1990,"['Trump', 'party']",1.346539169491634
1121,"['state', 'question']",0.48466062958775324
1120,"['state', 'raise']",0.29079637775265194
1413,"['raise', 'say']",0.6845248634756312
411,"['Pennsylvania', 'say']",3.558510701280561
1583,"['Trump', 'Urbanski']",7.0
1431,"['question', 'Pennsylvania']",1.9637029555086332
1446,"['Clinton', 'say']",3.558510701280561
2041,"['party', 'Clinton']",1.1782217733051796
122,"['GOP', 'say']",3.558510701280561
102,"['state', 'say']",0.7684901008242564
1449,"['Clinton', 'GOP']",6.0
2261,"['Warren', 'party']",1.0099043771187255
2276,"['County', 'party']",1.0099043771187255
675,"['point', 'say']",0.5133936476067235
1695,"['Urbanski', 'say']",3.0501520296690523
100,"['state', 'GOP']",1.295750102222891
1428,"['question', 'GOP']",1.6831739618645427
851,"['Trump', 'Gerow']",6.0
2290,"['party', 'GOP']",1.0099043771187255
1421,"['question', 'Clinton']",1.6831739618645427
1409,"['raise', 'Clinton']",1.0099043771187255
2293,"['party', 'folk']",0.056661491717975604
1142,"['leader', 'raise']",0.07082686464746951
1581,"['Trump', 'point']",0.8415869809322712
363,"['base', 'Trump']",0.4207934904661356
475,"['Trump', 'make']",0.951376783102569
583,"['say', 'Republican']",2.541793358057544
1705,"['GOP', 'County']",5.0
1424,"['question', 'thing']",0.22502520787605038
1419,"['raise', 'Pennsylvania']",0.8415869809322712
834,"['Trump', 'continue']",0.2805289936440904
2037,"['party', 'say']",0.42782803967226957
1143,"['leader', 'question']",0.11804477441244919
1238,"['continue', 'raise']",0.04721790976497967
1239,"['continue', 'question']",0.07869651627496613
875,"['report', 'raise']",0.06743352329528393
1381,"['debacle.', 'raise']",0.673269584745817
2267,"['Warren', 'GOP']",4.0
978,"['YOUSEF', 'question']",1.1221159745763618
1366,"['need', 'raise']",0.018887163905991867
1395,"['opportunity', 'raise']",0.09443581952995936
876,"['report', 'question']",0.1123892054921399
2270,"['Warren', 'folk']",0.22442319491527232
830,"['Trump', 'leader']",0.3366347923729085
1396,"['opportunity', 'question']",0.15739303254993228
1408,"['raise', 'email']",0.04116219012955423
101,"['state', 'leader']",0.07269909443816298
2347,"['GOP', 'folk']",0.22442319491527232
1367,"['need', 'question']",0.03147860650998645
1423,"['question', 'Benghazi']",1.1221159745763618
1410,"['raise', 'Foundation']",0.673269584745817
2264,"['Warren', 'Trump']",4.0
1167,"['agreement', 'question']",0.03147860650998645
1422,"['question', 'Foundation']",1.1221159745763618
1426,"['question', 'Charlie']",1.1221159745763618
1427,"['question', 'Gerow']",1.1221159745763618
1429,"['question', 'strategist']",0.0629572130199729
1430,"['question', 'base']",0.09443581952995936
1420,"['question', 'email']",0.06860365021592373
1166,"['agreement', 'raise']",0.018887163905991867
824,"['Trump', 'haul']",0.22442319491527232
380,"['state', 'Pennsylvania']",0.8638334014819273
2260,"['Warren', 'County']",4.0
2263,"['Warren', 'Clinton']",4.0
1418,"['raise', 'base']",0.056661491717975604
1417,"['raise', 'strategist']",0.037774327811983734
1416,"['raise', 'GOP']",0.673269584745817
1415,"['raise', 'Gerow']",0.673269584745817
1414,"['raise', 'Charlie']",0.673269584745817
1412,"['raise', 'thing']",0.10801209978050416
1411,"['raise', 'Benghazi']",0.673269584745817
1382,"['debacle.', 'question']",1.1221159745763618
123,"['leader', 'say']",0.1711312158689078
977,"['YOUSEF', 'raise']",0.673269584745817
1040,"['interview', 'raise']",0.06743352329528393
1215,"['supporter', 'raise']",0.018887163905991867
1041,"['interview', 'question']",0.1123892054921399
484,"['Trump', 'Republican']",4.0
271,"['help', 'Trump']",0.4437316703079661
480,"['Trump', 'think']",0.9228282617698735
274,"['help', 'make']",0.08443120181166451
1216,"['supporter', 'question']",0.03147860650998645
